"model","AIC","BIC","n","status"
"RI",1522.86271456601,1547.37152203982,250,"converged"
"RIAS",1506.52455836785,1538.03588226275,250,"converged"
"CS",1522.86271456601,1547.37152203982,250,"converged"
"AR1",1511.99193518895,1540.0020008733,250,"converged"
"ARH1",1504.79650480345,1543.31034511944,250,"converged"
"UN",1504.2226125138,1556.74148567198,250,"converged"
